+---------------+---------+---------------+------------+-------------+--------------------------------------------------+----------------------+-----+
| Learning Rate | N-Grams | Unk Threshold | Num Epochs | Hidden Size | Pretrained Embedding                             | Accuracy on Test Set | Run |
+---------------+---------+---------------+------------+-------------+--------------------------------------------------+----------------------+-----+
| 0.1           | 2       | 0             | 2          | 100         | None                                             | 0.6665               | 1   |
| 0.1           | 2       | 1             | 2          | 100         | None                                             | 0.6665               | 2   |
| 0.1           | 2       | 2             | 2          | 100         | None                                             | 0.674                | 3   |
| 0.1           | 2       | 3             | 2          | 100         | None                                             | 0.672                | 4   |
| 0.1           | 2       | 0             | 5          | 100         | None                                             | 0.7765               | 5   |
| 0.1           | 2       | 1             | 5          | 100         | None                                             | 0.7765               | 6   |
| 0.1           | 2       | 2             | 5          | 100         | None                                             | 0.7585               | 7   |
| 0.1           | 2       | 3             | 5          | 100         | None                                             | 0.727                | 8   |
| 0.1           | 2       | 0             | 8          | 100         | None                                             | ****0.813****        | 9   |
| 0.1           | 2       | 1             | 8          | 100         | None                                             | ****0.813****        | 10  |
| 0.1           | 2       | 2             | 8          | 100         | None                                             | 0.784                | 11  |
| 0.1           | 2       | 3             | 8          | 100         | None                                             | 0.757                | 12  |
| 0.1           | 2       | 0             | 2          | 300         | None                                             | 0.7785               | 13  |
| 0.1           | 2       | 1             | 2          | 300         | None                                             | 0.7785               | 14  |
| 0.1           | 2       | 2             | 2          | 300         | None                                             | 0.682                | 15  |
| 0.1           | 2       | 3             | 2          | 300         | None                                             | 0.6575               | 16  |
| 0.1           | 2       | 0             | 5          | 300         | None                                             | ****0.818****        | 17  |
| 0.1           | 2       | 1             | 5          | 300         | None                                             | ****0.818****        | 18  |
| 0.1           | 2       | 2             | 5          | 300         | None                                             | 0.764                | 19  |
| 0.1           | 2       | 3             | 5          | 300         | None                                             | 0.7085               | 20  |
| 0.1           | 2       | 0             | 8          | 300         | None                                             | ****0.846****        | 21  |
| 0.1           | 2       | 1             | 8          | 300         | None                                             | ****0.846****        | 22  |
| 0.1           | 2       | 2             | 8          | 300         | None                                             | 0.778                | 23  |
| 0.1           | 2       | 3             | 8          | 300         | None                                             | 0.7385               | 24  |
| 0.1           | 3       | 0             | 2          | 100         | None                                             | 0.6125               | 25  |
